AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Bootstrap,Processo p/ no,Thread p/ proc.,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
408.0,468,234,1104156.0,148564.0,148564.0,1104156.0,3153.92,4300.8,3153.92,4300.8,1.0,0,236.0,236.0,100bs-1n-2th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369468.0,100,1,2,484520,DENV_1-brazil-BVBRC_genome_sequence,13625.79,9333.21,22959.0,58.48,40.06,98.54,98.54,233.0, sdumont6165,5372406.0
415.0,460,230,1109688.0,150368.0,150368.0,1109688.0,3153.92,4300.8,3153.92,4300.8,1.0,0,0.0,0.0,100bs-1n-2th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369480.0,100,1,2,484520,DENV_1-brazil-BVBRC_genome_sequence,13452.27,9171.48,22623.75,59.0,40.23,99.23,99.23,228.0, sdumont6165,5203462.5
462.0,488,244,1104212.0,148360.0,148360.0,1104212.0,3379.2,4311.04,3379.2,4311.04,1.0,0,0.0,0.0,100bs-1n-2th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369487.0,100,1,2,484520,DENV_1-brazil-BVBRC_genome_sequence,14152.69,9774.13,23926.81,58.24,40.22,98.46,98.46,243.0, sdumont6165,5838141.640000001
417.0,458,229,1104148.0,148648.0,148648.0,1104148.0,3153.92,4300.8,3153.92,4300.8,1.0,0,0.0,0.0,100bs-1n-2th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369488.0,100,1,2,484520,DENV_1-brazil-BVBRC_genome_sequence,13411.54,9147.24,22558.78,58.57,39.94,98.51,98.51,229.0, sdumont6165,5165960.62
414.0,466,233,1104276.0,146788.0,146788.0,1104276.0,3153.92,4300.8,3153.92,4300.8,1.0,0,0.0,0.0,100bs-1n-2th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369491.0,100,1,2,484520,DENV_1-brazil-BVBRC_genome_sequence,13655.1,9375.95,23031.05,58.86,40.41,99.27,99.27,232.0, sdumont6165,5366234.649999999
512.0,678,113,1378344.0,149404.0,149404.0,1378344.0,2283.52,4280.32,2283.52,4280.32,335.0,0,238.0,238.0,100bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369562.0,100,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,9163.31,3829.89,12993.2,85.64,35.79,121.43,121.43,107.0, sdumont6166,1468231.6
644.0,732,122,1600844.0,149020.0,149020.0,1600844.0,2508.8,4300.8,2508.8,4300.8,82.0,0,238.0,238.0,100bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369567.0,100,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,11119.84,4827.75,15947.59,91.9,39.9,131.8,131.8,121.0, sdumont6167,1945605.98
525.0,666,111,1372784.0,149488.0,149488.0,1372784.0,2283.52,4280.32,2283.52,4280.32,410.0,0,0.0,0.0,100bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369573.0,100,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,9549.04,4602.26,14151.3,86.81,41.84,128.65,128.65,110.0, sdumont6165,1570794.2999999998
533.0,642,107,1595604.0,147308.0,147308.0,1595604.0,2263.04,4290.56,2263.04,4290.56,1.0,0,0.0,0.0,100bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369580.0,100,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,9019.61,4232.11,13251.72,85.09,39.93,125.02,125.02,106.0, sdumont6165,1417934.04
536.0,624,104,1378348.0,145364.0,145364.0,1378348.0,2283.52,4290.56,2283.52,4290.56,1.0,0,0.0,0.0,100bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369582.0,100,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,8926.36,4156.59,13082.96,86.66,40.36,127.02,127.02,103.0, sdumont6165,1360627.84
