Num de Execuções;Nome do Executável
3132409;hydra_pmi_proxy
129793;python
59759;singularity
48511;vasp_std
29205;hopscotch2d_omp_naive
28645;vasp_gam
28419;hopscotch2d_omp_busywait_nobarrier
28044;hopscotch2d_omp_sem_nobarrier
19358;ChildScript.sh
18366;gmx_mpi
16144;Inferencia
12633;hopscotch2d_omp_ews
11935;hopscotch2d_omp_busywait_barrier
10998;hopscotch2d_omp_semaphores
9208;Led
8215;cp2k.psmp
8182;endpoint
8082;benchmark.py
7871;CE20-complex-rep1
6881;bash
6319;firedrake_singularity
6309;Ame
5841;nvidia-smi
5637;sistema_anular_coluna
5456;cu2o
5001;rubreno
4852;hydra_bstrap_proxy
4606;pw.x
4373;vasp_ncl
4296;Octopus_000
4082;Octopus_001
3975;Ana
3949;wrapper_eviden-NEBA.sh
3942;Octopus_002
3912;Octopus_003
3878;Octopus_004
3802;Octopus_005
3581;Octopus_006
3518;Octopus_007
3393;Octopus_008
3240;Octopus_009
3135;hycom
3120;hostname
2980;Octopus_010
2837;Octopus_011
2739;make
2695;dual-calc
2668;orted
2530;rfdiffusion_job
2456;interactive
2418;CE20-apo-rep1
2239;wrapper_eviden-TIYA.sh
2155;CuNaCl
2122;Octopus_012
2102;Octopus_013
2096;SLB_TRFC
2054;Antraceno
1968;Octopus_014
1940;script_402_17.sh
1920;hopscotch2d_hib_naive
1850;Rubreno
1772;Si
1648;nanowire_1D
1608;teste_ase
1600;Octopus_015
1595;vasp_6.5.1-std
1587;hopscotch2d_hib_busywait_nobarrier
1568;finetune_job
1559;hopscotch2d_hib_sem_nobarrier
1448;CGTb
1380;Ame-2SO
1379;HDF5
1330;CoCN-die
1288;mpnn
1263;models.sh
1254;run_matheus.sh
1231;cp2k
1155;ams.exe
1147;nmr.exe
1140;sd_job
1002;Form-die
986;vasp_GPU
939;tf2_training
929;Led-puck
927;python3
919;Ana-puck
914;Led-unb
913;Pos4_yplus300
873;wrap
864;Octopus_016
838;auI
821;lmp
819;Octopus_017
815;CdTe
774;Octopus_019
771;Octopus_018
735;pluto
729;wrapper.sh
713;hopscotch2d_omp_busywait_nobarrier_nofs
711;minerva-dg-commands
708;PBEE
698;run_matheus_14_17.sh
693;exp3_thr_tile
677;naf
675;Ame-puck
671;siesta
654;run_simtel
646;hopscotch2d_mpi_naive
645;Proxy_Res
640;hopscotch2d_omp_sem_nobarrier_nofs
640;hopscotch2d_omp_naive_nofs
636;pmemd.cuda
628;prod5_alpha_plus4LST_run
616;bateria_oleo
603;Au-I-ab
598;turbines
594;script_5626_17.sh
580;upstreamFoam
554;bp_multi
550;vasp_6.3.0-std
544;wannier90.x
533;PBEE_array
531;reconstruct_array
514;CSEM_W_INV_GPU
511;lbm
506;csem3dw_inversion_exe
505;script_14_17.sh
502;aaaaaaaaa
501;ruby
494;Octopus_020
485;Vg1_Vl7
484;core_test
481;SALTS_GPU
480;auI221
478;expN
467;min
460;bands
454;interFoam
451;teste
426;hopscotch2d_omp_mpilike
425;p_nemo
419;gromacs
416;dde_mobility
416;amortar_structured_rt1
416;VASP_GPU_1x1
411;amr_wind
410;sudo
403;HPGLab-modeling
396;mag6
395;yambo
392;Ana-unb
385;Octopus_021
377;run_deepOnet-retrain.srm
376;tbtrans
371;test
359;Plumed
350;Pos4_5e-5_water
349;ortho_p
349;Inferencia_daniel
346;beta
345;cham
341;md
332;run_train.sh
330;gmx
329;FNO
327;lbpm_color_simulator
327;amortar_metis
322;Led-MD
315;crystal
315;Pos5_CC
307;SP
