AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Classe,Benchmark,Zone X,Zone Y,Iterações,Grid X,Grid Y,Grid Z,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
17348.0,18846,1047,10604832.0,9430464.0,9430464.0,10604832.0,1361.92,4218.88,1361.92,4218.88,1.0,0,424.0,424.0,1n-1m-18th-Dc-lu-mz,sequana_cpu_dev,1,11434639.0,1,18,D,lu-mz,4,4,300,1632,1216,34,142546.91,42959.73,185506.64,136.54,41.15,177.69,177.69,1044.0, sdumont6165,194225452.08
17458.0,18864,1048,10604836.0,9430540.0,9430540.0,10604836.0,1361.92,4218.88,1361.92,4218.88,1.0,0,26.0,26.0,1n-1m-18th-Dc-lu-mz,sequana_cpu_dev,1,11434646.0,1,18,D,lu-mz,4,4,300,1632,1216,34,143003.81,42949.46,185953.27,136.71,41.06,177.78,177.78,1046.0, sdumont6165,194879026.95999998
17456.0,18882,1049,10604836.0,9430280.0,9430280.0,10604836.0,1361.92,4218.88,1361.92,4218.88,1.0,0,19.0,19.0,1n-1m-18th-Dc-lu-mz,sequana_cpu_dev,1,11434654.0,1,18,D,lu-mz,4,4,300,1632,1216,34,143110.53,42985.84,186096.38,136.56,41.02,177.57,177.57,1048.0, sdumont6165,195215102.62
17899.0,18954,1053,10621816.0,9430788.0,9430788.0,10621816.0,7270.4,4218.88,7270.4,4218.88,1.0,0,408.0,408.0,1n-1m-18th-Dc-lu-mz,sequana_cpu_dev,1,11434666.0,1,18,D,lu-mz,4,4,300,1632,1216,34,151141.59,45689.42,196831.01,143.67,43.43,187.1,187.1,1052.0, sdumont6044,207263053.53
17855.0,19134,1063,10621816.0,9430404.0,9430404.0,10621816.0,7270.4,4218.88,7270.4,4218.88,1.0,0,20.0,20.0,1n-1m-18th-Dc-lu-mz,sequana_cpu_dev,1,11434679.0,1,18,D,lu-mz,4,4,300,1632,1216,34,155358.1,47124.87,202482.96,146.43,44.42,190.84,190.84,1061.0, sdumont6044,215239386.48
19544.0,20740,1037,10625924.0,9431704.0,9431704.0,10625924.0,7086.08,4218.88,7086.08,4218.88,1.0,0,19.0,19.0,1n-1m-20th-Dc-lu-mz,sequana_cpu_dev,1,11434689.0,1,20,D,lu-mz,4,4,300,1632,1216,34,152093.53,45710.4,197803.93,146.81,44.12,190.93,190.93,1036.0, sdumont6044,205122675.41
19599.0,20720,1036,10625924.0,9430512.0,9430512.0,10625924.0,7086.08,4218.88,7086.08,4218.88,1.0,0,431.0,431.0,1n-1m-20th-Dc-lu-mz,sequana_cpu_dev,1,11434698.0,1,20,D,lu-mz,4,4,300,1632,1216,34,152744.54,42334.37,195078.91,147.72,40.94,188.66,188.66,1034.0, sdumont6053,202101750.76
19577.0,20800,1040,10625920.0,9430688.0,9430688.0,10625920.0,7086.08,4218.88,7086.08,4218.88,1.0,0,24.0,24.0,1n-1m-20th-Dc-lu-mz,sequana_cpu_dev,1,11434704.0,1,20,D,lu-mz,4,4,300,1632,1216,34,152613.06,42344.52,194957.58,146.88,40.76,187.64,187.64,1039.0, sdumont6053,202755883.2
19627.0,20740,1037,10625920.0,9431948.0,9431948.0,10625920.0,7086.08,4218.88,7086.08,4218.88,1.0,0,195.0,195.0,1n-1m-20th-Dc-lu-mz,sequana_cpu_dev,1,11434714.0,1,20,D,lu-mz,4,4,300,1632,1216,34,147675.09,46526.01,194201.1,142.54,44.91,187.45,187.45,1036.0, sdumont6041,201386540.70000002
19577.0,21000,1050,10625924.0,9430952.0,9430952.0,10625924.0,7086.08,4218.88,7086.08,4218.88,1.0,0,413.0,413.0,1n-1m-20th-Dc-lu-mz,sequana_cpu_dev,1,11434727.0,1,20,D,lu-mz,4,4,300,1632,1216,34,152058.86,45844.42,197903.28,144.96,43.7,188.66,188.66,1049.0, sdumont6044,207798444.0
20614.0,22088,1004,10630040.0,9430948.0,9430948.0,10630040.0,7004.16,4218.88,7004.16,4218.88,1.0,0,94.0,94.0,1n-1m-22th-Dc-lu-mz,sequana_cpu_dev,1,11434742.0,1,22,D,lu-mz,4,4,300,1632,1216,34,147862.22,41942.42,189804.64,147.42,41.82,189.24,189.24,1003.0, sdumont6043,190563858.56
20663.0,22176,1008,10630128.0,9431468.0,9431468.0,10630128.0,6912.0,4218.88,6912.0,4218.88,1.0,0,94.0,94.0,1n-1m-22th-Dc-lu-mz,sequana_cpu_dev,1,11434749.0,1,22,D,lu-mz,4,4,300,1632,1216,34,145012.55,45076.07,190088.62,144.0,44.76,188.77,188.77,1007.0, sdumont6041,191609328.96
20541.0,22132,1006,10630128.0,9430840.0,9430840.0,10630128.0,6912.0,4218.88,6912.0,4218.88,1.0,0,92.0,92.0,1n-1m-22th-Dc-lu-mz,sequana_cpu_dev,1,11434753.0,1,22,D,lu-mz,4,4,300,1632,1216,34,148564.1,40620.41,189184.51,147.82,40.42,188.24,188.24,1005.0, sdumont6053,190319617.06
