AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Classe,Benchmark,Zone X,Zone Y,Iterações,Grid X,Grid Y,Grid Z,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
0.0,28,14,267444.0,3140.0,3140.0,267444.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-2th-Ac-lu-mz,sequana_cpu_dev,1,11418170.0,1,2,A,lu-mz,4,4,250,128,128,16,784.26,515.51,1299.77,60.33,39.65,99.98,99.98,13.0, sdumont6043,18196.78
58.0,100,50,1449836.0,299124.0,299124.0,1449836.0,5560.32,4208.64,5560.32,4208.64,1.0,0,44.0,44.0,1n-1m-2th-Bc-lu-mz,sequana_cpu_dev,1,11418171.0,1,2,B,lu-mz,4,4,250,304,208,17,3216.74,1951.23,5167.97,65.65,39.82,105.47,105.47,49.0, sdumont6043,258398.5
355.0,418,209,1909180.0,753572.0,753572.0,1909180.0,27996.16,4239.36,27996.16,4239.36,1.0,0,45.0,45.0,1n-1m-2th-Cc-lu-mz,sequana_cpu_dev,1,11418172.0,1,2,C,lu-mz,4,4,250,480,320,28,14178.93,8484.71,22663.64,68.17,40.79,108.96,108.96,208.0, sdumont6043,4736700.76
0.0,32,8,267444.0,3148.0,3148.0,267444.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,1n-1m-4th-Ac-lu-mz,sequana_cpu_dev,1,11418175.0,1,4,A,lu-mz,4,4,250,128,128,16,445.58,241.39,686.98,63.65,34.48,98.14,98.14,7.0, sdumont6043,5495.84
0.0,116,29,267444.0,2924.0,2924.0,267444.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-4th-Bc-lu-mz,sequana_cpu_dev,1,11418177.0,1,4,B,lu-mz,4,4,250,304,208,17,2075.72,1090.17,3165.88,74.13,38.93,113.07,113.07,28.0, sdumont6043,91810.52
356.0,452,113,1892808.0,752176.0,752176.0,1892808.0,2027.52,4218.88,2027.52,4218.88,1.0,0,50.0,50.0,1n-1m-4th-Cc-lu-mz,sequana_cpu_dev,1,11418179.0,1,4,C,lu-mz,4,4,250,480,320,28,8390.13,4599.56,12989.69,74.91,41.07,115.98,115.98,112.0, sdumont6165,1467834.97
0.0,36,6,267444.0,3036.0,3036.0,267444.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-6th-Ac-lu-mz,sequana_cpu_dev,1,11418181.0,1,6,A,lu-mz,4,4,250,128,128,16,403.31,191.7,595.02,80.66,38.34,119.0,119.0,5.0, sdumont6043,3570.12
0.0,132,22,267444.0,3168.0,3168.0,267444.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-6th-Bc-lu-mz,sequana_cpu_dev,1,11418185.0,1,6,B,lu-mz,4,4,250,304,208,17,1713.31,783.03,2496.33,81.59,37.29,118.87,118.87,21.0, sdumont6043,54919.259999999995
356.0,468,78,1913900.0,752388.0,752388.0,1913900.0,10158.08,4218.88,10158.08,4218.88,0.0,0,5.0,5.0,1n-1m-6th-Cc-lu-mz,sequana_cpu_dev,1,11418187.0,1,6,C,lu-mz,4,4,250,480,320,28,7464.89,3130.99,10595.88,96.95,40.66,137.61,137.61,77.0, sdumont6043,826478.6399999999
0.0,48,6,267444.0,1040.0,1040.0,267444.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-8th-Ac-lu-mz,sequana_cpu_dev,1,11418189.0,1,8,A,lu-mz,4,4,250,128,128,16,341.72,146.09,487.81,68.34,29.22,97.56,97.56,5.0, sdumont6043,2926.86
0.0,144,18,267444.0,1040.0,1040.0,267444.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-8th-Bc-lu-mz,sequana_cpu_dev,1,11418191.0,1,8,B,lu-mz,4,4,250,304,208,17,1567.38,641.27,2208.65,92.2,37.72,129.92,129.92,17.0, sdumont6043,39755.700000000004
474.0,496,62,1918008.0,754264.0,754264.0,1918008.0,10158.08,4218.88,10158.08,4218.88,1.0,0,3.0,3.0,1n-1m-8th-Cc-lu-mz,sequana_cpu_dev,1,11418193.0,1,8,C,lu-mz,4,4,250,480,320,28,6479.77,2429.31,8909.08,106.23,39.82,146.05,146.05,61.0, sdumont6043,552362.96
0.0,50,5,267444.0,1036.0,1036.0,267444.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1n-1m-10th-Ac-lu-mz,sequana_cpu_dev,1,11418195.0,1,10,A,lu-mz,4,4,250,128,128,16,370.53,141.5,512.03,92.63,35.37,128.01,128.01,4.0, sdumont6043,2560.1499999999996
0.0,150,15,267444.0,1040.0,1040.0,267444.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-10th-Bc-lu-mz,sequana_cpu_dev,1,11418197.0,1,10,B,lu-mz,4,4,250,304,208,17,1485.13,541.97,2027.1,106.08,38.71,144.79,144.79,14.0, sdumont6043,30406.5
294.0,520,52,1922116.0,752968.0,752968.0,1922116.0,5560.32,4208.64,5560.32,4208.64,1.0,0,10.0,10.0,1n-1m-10th-Cc-lu-mz,sequana_cpu_dev,1,11418199.0,1,10,C,lu-mz,4,4,250,480,320,28,5938.69,2013.63,7952.32,118.77,40.27,159.05,159.05,50.0, sdumont6043,413520.64
0.0,60,5,265348.0,1032.0,1032.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-12th-Ac-lu-mz,sequana_cpu_dev,1,11418202.0,1,12,A,lu-mz,4,4,250,128,128,16,363.41,146.46,509.87,121.14,48.82,169.96,169.96,3.0, sdumont6165,2549.35
0.0,180,15,265348.0,1028.0,1028.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-12th-Bc-lu-mz,sequana_cpu_dev,1,11418204.0,1,12,B,lu-mz,4,4,250,304,208,17,1452.57,560.06,2012.64,103.76,40.0,143.76,143.76,14.0, sdumont6165,30189.600000000002
353.0,576,48,1909256.0,752336.0,752336.0,1909256.0,1239.04,4208.64,1239.04,4208.64,1.0,0,15.0,15.0,1n-1m-12th-Cc-lu-mz,sequana_cpu_dev,1,11418206.0,1,12,C,lu-mz,4,4,250,480,320,28,5308.92,1887.51,7196.42,115.41,41.03,156.44,156.44,46.0, sdumont6165,345428.16000000003
