AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),Input,NodeList,EDP
0.0,88,22,265352.0,3136.0,3136.0,265352.0,0.0,0.0,0.0,0.0,143.0,0,0.0,0.0,1n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493159.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1481.03,793.48,2274.51,70.53,37.78,108.31,108.31,21.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,50039.22
0.0,84,21,265352.0,3168.0,3168.0,265352.0,0.0,0.0,0.0,0.0,24.0,0,0.0,0.0,1n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493162.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1435.48,743.46,2178.94,75.55,39.13,114.68,114.68,19.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,45757.74
0.0,80,20,265352.0,3176.0,3176.0,265352.0,0.0,0.0,0.0,0.0,8.0,0,0.0,0.0,1n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493165.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1436.17,734.15,2170.32,75.59,38.64,114.23,114.23,19.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,43406.4
0.0,80,20,265352.0,3184.0,3184.0,265352.0,0.0,0.0,0.0,0.0,11.0,0,0.0,0.0,1n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493167.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1424.25,732.27,2156.52,74.96,38.54,113.5,113.5,19.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,43130.4
0.0,80,20,265352.0,3148.0,3148.0,265352.0,0.0,0.0,0.0,0.0,14.0,0,0.0,0.0,1n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493169.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1417.61,727.39,2145.0,74.61,38.28,112.89,112.89,19.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,42900.0
710.0,760,190,1235328.0,143188.0,143188.0,1235328.0,2385.92,4679.68,2385.92,4679.68,1.0,0,0.0,0.0,1n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493173.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15246.12,7737.93,22984.05,80.67,40.94,121.61,121.61,189.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4366969.5
711.0,748,187,1235300.0,149492.0,149492.0,1235300.0,2385.92,4679.68,2385.92,4679.68,6.0,0,0.0,0.0,1n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493179.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15097.02,7636.07,22733.09,81.17,41.05,122.22,122.22,186.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4251087.83
712.0,748,187,1463556.0,148816.0,148816.0,1463556.0,2385.92,4689.92,2385.92,4689.92,25.0,0,0.0,0.0,1n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493184.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15099.6,7661.9,22761.5,81.18,41.19,122.37,122.37,186.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4256400.5
711.0,756,189,1235300.0,142904.0,142904.0,1235300.0,2385.92,4679.68,2385.92,4679.68,0.0,0,1.0,1.0,1n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493189.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15108.97,7650.65,22759.62,80.8,40.91,121.71,121.71,187.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4301568.18
711.0,760,190,1235300.0,140828.0,140828.0,1235300.0,2385.92,4679.68,2385.92,4679.68,6.0,0,0.0,0.0,1n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493193.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15245.28,7756.38,23001.66,80.66,41.04,121.7,121.7,189.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4370315.4
