AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Bootstrap,Thread,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
0.0,1296,27,265348.0,3128.0,3128.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,100bs-1n-48th-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11307338.0,100,48,187026,DENV_1-colombia-BVBRC_genome_sequence,2201.78,1915.49,4117.27,84.68,73.67,158.36,158.36,26.0, sdumont6068,111166.29000000001
0.0,336,14,265348.0,3108.0,3108.0,265348.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,100bs-1n-24th-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11307354.0,100,24,187026,DENV_1-colombia-BVBRC_genome_sequence,1239.89,358.15,1598.05,103.32,29.85,133.17,133.17,12.0, sdumont6068,22372.7
0.0,42,21,265348.0,3024.0,3024.0,265348.0,0.0,0.0,0.0,0.0,25.0,0,0.0,0.0,100bs-1n-2th-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11307355.0,100,2,187026,DENV_1-colombia-BVBRC_genome_sequence,981.6,536.97,1518.58,49.08,26.85,75.93,75.93,20.0, sdumont6068,31890.18
3901.0,5664,118,4210016.0,145940.0,145940.0,4210016.0,1699.84,4270.08,1699.84,4270.08,16.0,0,298.0,298.0,100bs-1n-48th-377019s-DENV_1-usa-BVBRC_genome_sequence,sequana_cpu_dev,1,11307357.0,100,48,377019,DENV_1-usa-BVBRC_genome_sequence,13051.93,13331.71,26383.64,112.52,114.93,227.45,227.45,116.0, sdumont6169,3113269.52
1400.0,1584,66,2588024.0,145368.0,145368.0,2588024.0,1607.68,4280.32,1607.68,4280.32,6.0,0,26.0,26.0,100bs-1n-24th-377019s-DENV_1-usa-BVBRC_genome_sequence,sequana_cpu_dev,1,11307369.0,100,24,377019,DENV_1-usa-BVBRC_genome_sequence,7868.43,2123.1,9991.52,124.9,33.7,158.6,158.6,63.0, sdumont6068,659440.3200000001
176.0,220,110,1102524.0,143708.0,143708.0,1102524.0,1699.84,4270.08,1699.84,4270.08,1.0,0,0.0,0.0,100bs-1n-2th-377019s-DENV_1-usa-BVBRC_genome_sequence,sequana_cpu_dev,1,11307371.0,100,2,377019,DENV_1-usa-BVBRC_genome_sequence,6913.61,3502.12,10415.74,63.43,32.13,95.56,95.56,109.0, sdumont6068,1145731.4
1379.0,1776,37,4209072.0,144900.0,144900.0,4209072.0,1157.12,4249.6,1157.12,4249.6,1.0,0,22.0,22.0,100bs-1n-48th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11307374.0,100,48,198574,DENV_2-colombia-BVBRC_genome_sequence,3681.48,3210.12,6891.6,105.19,91.72,196.9,196.9,35.0, sdumont6068,254989.2
0.0,624,26,265348.0,3112.0,3112.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,100bs-1n-24th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11307382.0,100,24,198574,DENV_2-colombia-BVBRC_genome_sequence,2577.63,705.86,3283.49,103.11,28.23,131.34,131.34,25.0, sdumont6068,85370.73999999999
33.0,102,51,1100600.0,138996.0,138996.0,1100600.0,1157.12,4229.12,1157.12,4229.12,1.0,0,234.0,234.0,100bs-1n-2th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11307390.0,100,2,198574,DENV_2-colombia-BVBRC_genome_sequence,2395.43,1891.77,4287.2,47.91,37.84,85.74,85.74,50.0, sdumont6165,218647.19999999998
2814.0,3072,64,4209240.0,151052.0,151052.0,4209240.0,1341.44,4259.84,1341.44,4259.84,0.0,0,19.0,19.0,100bs-1n-48th-242689s-DENV_2-mexico-BVBRC_genome_sequence,sequana_cpu_dev,1,11307395.0,100,48,242689,DENV_2-mexico-BVBRC_genome_sequence,7363.53,6421.08,13784.62,116.88,101.92,218.8,218.8,63.0, sdumont6068,882215.68
