AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),Input,NodeList,EDP
0.0,220,11,265352.0,3196.0,3115.19921875,265352.0,0.0,0.0,0.0,0.0,29586.0,0,0.0,0.0,5n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546266.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,3236.36,1738.39,4974.75,359.6,193.15,552.75,110.55,9.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6099,54722.25
0.0,120,6,265352.0,3188.0,3148.0,265352.0,0.0,0.0,0.0,0.0,29.0,0,0.0,0.0,5n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546393.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1684.16,881.23,2565.38,404.72,211.86,616.58,123.32,4.2,DENV_2-colombia-BVBRC_genome_sequence, sdumont6058,15392.28
0.0,160,8,265352.0,3200.0,3144.0,265352.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546394.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1417.89,816.17,2234.06,236.31,136.03,372.34,74.47,6.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6234,17872.48
0.0,120,6,265352.0,3236.0,3174.3994140625,265352.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,5n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546396.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1657.35,871.09,2528.45,331.47,174.22,505.69,101.14,5.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6236,15170.699999999999
0.0,140,7,265352.0,3248.0,3118.3994140625,265352.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,5n-1m-4th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546397.0,1,4,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1574.74,859.48,2434.22,314.95,171.9,486.84,97.37,5.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6099,17039.539999999997
115.0,860,43,1245401.599609375,153904.0,148790.3994140625,1247904.0,1290.24,4280.32,1290.24,4280.32,3.0,0,0.0,1.0,5n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546399.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,16654.61,8541.16,25195.76,396.54,203.36,599.9,119.98,42.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6234,1083417.68
98.0,980,49,1291107.19921875,149596.0,147877.599609375,1458680.0,1290.24,4270.08,1300.48,4270.08,19306.0,0,77.0,388.0,5n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546401.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,16909.15,9761.2,26670.35,352.27,203.36,555.63,111.13,48.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6153,1306847.15
114.0,880,44,1245404.7998046875,151280.0,147816.7998046875,1247900.0,1290.24,4280.32,1290.24,4280.32,2297.0,0,0.0,3.0,5n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546480.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15328.54,8588.95,23917.49,364.97,204.5,569.46,113.89,42.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6153,1052369.56
115.0,880,44,1245436.7998046875,149756.0,147557.599609375,1247904.0,1290.24,4280.32,1290.24,4280.32,852.0,0,0.0,2.0,5n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546503.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15449.49,8583.53,24033.02,359.29,199.62,558.91,111.78,43.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6067,1057452.8800000001
114.0,1100,55,1291083.19921875,153128.0,148579.19921875,1475996.0,1290.24,4280.32,1300.48,4280.32,680.0,0,0.0,0.0,5n-1m-4th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,5,11546512.0,1,4,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15714.04,8753.95,24467.98,365.44,203.58,569.02,113.8,43.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6080,1345738.9
