AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
177.0,480,120,1221710.0,155172.0,150748.0,1326808.0,2283.52,4249.6,2283.52,4249.6,1.0,0,0.0,0.0,2n-1m-2th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531880.0,1,2,100,484520,DENV_1-brazil-BVBRC_genome_sequence,14130.01,9359.97,23489.98,118.74,78.66,197.39,98.7,119.0, sdumont6166,2818797.6
177.0,480,120,1110314.0,154632.0,149702.0,1116464.0,2283.52,4249.6,2283.52,4249.6,1.0,0,0.0,0.0,2n-1m-2th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531883.0,1,2,100,484520,DENV_1-brazil-BVBRC_genome_sequence,13906.34,9197.99,23104.33,116.86,77.29,194.15,97.08,119.0, sdumont6165,2772519.6
234.0,496,124,1224372.0,156960.0,151916.0,1326892.0,2508.8,4259.84,2508.8,4259.84,1.0,0,0.0,0.0,2n-1m-2th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531888.0,1,2,100,484520,DENV_1-brazil-BVBRC_genome_sequence,14416.21,9541.96,23958.17,117.2,77.58,194.78,97.39,123.0, sdumont6166,2970813.08
177.0,480,120,1110266.0,154756.0,149496.0,1116364.0,2283.52,4249.6,2283.52,4249.6,1.0,0,0.0,0.0,2n-1m-2th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531893.0,1,2,100,484520,DENV_1-brazil-BVBRC_genome_sequence,14003.35,9223.92,23227.27,117.68,77.51,195.19,97.59,119.0, sdumont6166,2787272.4
235.0,488,122,1113008.0,155176.0,149878.0,1121924.0,2508.8,4259.84,2508.8,4259.84,0.0,0,0.0,0.0,2n-1m-2th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531897.0,1,2,100,484520,DENV_1-brazil-BVBRC_genome_sequence,14184.65,9334.39,23519.05,117.23,77.14,194.37,97.19,121.0, sdumont6166,2869324.1
235.0,584,73,1244542.0,155432.0,150428.0,1250596.0,2078.72,4249.6,2078.72,4249.6,0.0,0,0.0,0.0,2n-1m-4th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531901.0,1,4,100,484520,DENV_1-brazil-BVBRC_genome_sequence,10301.98,5519.33,15821.31,143.08,76.66,219.74,109.87,72.0, sdumont6166,1154955.63
236.0,576,72,1244468.0,155820.0,150660.0,1250632.0,2078.72,4249.6,2078.72,4249.6,2.0,0,0.0,0.0,2n-1m-4th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531905.0,1,4,100,484520,DENV_1-brazil-BVBRC_genome_sequence,10325.76,5502.29,15828.05,145.43,77.5,222.93,111.47,71.0, sdumont6165,1139619.6
236.0,576,72,1244542.0,155920.0,150598.0,1250780.0,2078.72,4249.6,2078.72,4249.6,1.0,0,0.0,1.0,2n-1m-4th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531910.0,1,4,100,484520,DENV_1-brazil-BVBRC_genome_sequence,10157.9,5459.81,15617.7,143.07,76.9,219.97,109.98,71.0, sdumont6166,1124474.4
235.0,584,73,1244468.0,155676.0,152796.0,1250596.0,2058.24,4249.6,2058.24,4249.6,0.0,0,0.0,0.0,2n-1m-4th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531913.0,1,4,100,484520,DENV_1-brazil-BVBRC_genome_sequence,10422.55,5572.05,15994.6,144.76,77.39,222.15,111.07,72.0, sdumont6166,1167605.8
236.0,576,72,1244468.0,157312.0,151318.0,1250596.0,2078.72,4249.6,2078.72,4249.6,1.0,0,0.0,0.0,2n-1m-4th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531916.0,1,4,100,484520,DENV_1-brazil-BVBRC_genome_sequence,10290.07,5491.18,15781.25,144.93,77.34,222.27,111.14,71.0, sdumont6166,1136250.0
175.0,672,56,1378988.0,155448.0,150380.0,1385096.0,1853.44,4229.12,1853.44,4229.12,1.0,0,0.0,0.0,2n-1m-6th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531918.0,1,6,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9230.29,4169.78,13400.07,167.82,75.81,243.64,121.82,55.0, sdumont6166,750403.9199999999
176.0,684,57,1379068.0,155924.0,151490.0,1385268.0,1853.44,4229.12,1853.44,4229.12,1.0,0,0.0,1.0,2n-1m-6th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531920.0,1,6,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9334.76,4222.05,13556.81,166.69,75.39,242.09,121.04,56.0, sdumont6165,772738.1699999999
171.0,696,58,1379074.0,155700.0,150304.0,1385268.0,1853.44,4229.12,1853.44,4229.12,1.0,0,131.0,261.0,2n-1m-6th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531933.0,1,6,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9414.46,4281.95,13696.41,165.17,75.12,240.29,120.14,57.0, sdumont6165,794391.78
