AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
6.0,40,10,686742.0,134284.0,68730.0,1108132.0,614.4,2129.92,1218.56,4270.08,3.0,0,144.0,288.0,1n-2m-2th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529105.0,2,2,100,187026,DENV_1-colombia-BVBRC_genome_sequence,330.2,363.01,693.21,36.69,40.33,77.02,77.02,9.0, sdumont6165,6932.1
6.0,24,6,466850.0,131152.0,67140.0,668348.0,563.2,2119.68,1136.64,4239.36,4.0,0,0.0,0.0,1n-2m-2th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529107.0,2,2,100,187026,DENV_1-colombia-BVBRC_genome_sequence,244.04,266.79,510.83,40.67,44.47,85.14,85.14,6.0, sdumont6165,3064.98
6.0,36,9,689524.0,133840.0,68544.0,1113696.0,604.16,2129.92,1208.32,4270.08,1.0,0,0.0,0.0,1n-2m-2th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529110.0,2,2,100,187026,DENV_1-colombia-BVBRC_genome_sequence,369.23,400.01,769.24,61.54,66.67,128.21,128.21,6.0, sdumont6165,6923.16
6.0,28,7,466854.0,131140.0,67168.0,668356.0,563.2,2119.68,1136.64,4239.36,0.0,0,0.0,0.0,1n-2m-2th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529111.0,2,2,100,187026,DENV_1-colombia-BVBRC_genome_sequence,244.24,267.83,512.07,40.71,44.64,85.35,85.35,6.0, sdumont6165,3584.49
0.0,88,22,466924.0,7308.0,5278.0,668496.0,614.4,2129.92,1218.56,4270.08,4.0,0,0.0,0.0,1n-2m-2th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529117.0,2,2,100,187026,DENV_1-colombia-BVBRC_genome_sequence,242.73,265.21,507.93,40.45,44.2,84.66,84.66,6.0, sdumont6165,11174.46
118.0,248,62,898982.0,138688.0,136998.0,1116844.0,1320.96,4444.16,1505.28,4444.16,3.0,0,0.0,0.0,1n-2m-2th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529119.0,2,2,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3444.16,3761.4,7205.56,56.46,61.66,118.12,118.12,61.0, sdumont6165,446744.72
122.0,264,66,898978.0,138220.0,136848.0,1120872.0,1320.96,4433.92,1505.28,4444.16,1.0,0,0.0,0.0,1n-2m-2th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529122.0,2,2,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3674.09,4035.17,7709.25,56.52,62.08,118.6,118.6,65.0, sdumont6165,508810.5
118.0,248,62,898894.0,138304.0,137802.0,1120872.0,1454.08,4577.28,1843.2,4710.4,1.0,0,0.0,0.0,1n-2m-2th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529125.0,2,2,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3461.44,3772.88,7234.33,57.69,62.88,120.57,120.57,60.0, sdumont6165,448528.46
118.0,248,62,1013172.0,139732.0,137584.0,1345068.0,1454.08,4577.28,1843.2,4710.4,1.0,0,0.0,0.0,1n-2m-2th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529129.0,2,2,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3501.02,3815.05,7316.07,58.35,63.58,121.93,121.93,60.0, sdumont6165,453596.34
116.0,252,63,898980.0,138424.0,136978.0,1116684.0,1454.08,4577.28,1863.68,4710.4,1.0,0,317.0,376.0,1n-2m-2th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529134.0,2,2,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4222.97,4236.34,8459.3,68.11,68.33,136.44,136.44,62.0, sdumont6167,532935.8999999999
8.0,48,6,754284.0,136468.0,69776.0,1243216.0,604.16,2129.92,1208.32,4270.08,1.0,0,0.0,0.0,1n-2m-4th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529138.0,2,4,100,187026,DENV_1-colombia-BVBRC_genome_sequence,350.59,349.25,699.84,70.12,69.85,139.97,139.97,5.0, sdumont6167,4199.04
0.0,56,7,575480.0,8312.0,5708.0,885608.0,604.16,2129.92,1218.56,4270.08,4.0,0,0.0,0.0,1n-2m-4th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529145.0,2,4,100,187026,DENV_1-colombia-BVBRC_genome_sequence,351.44,353.92,705.36,70.29,70.78,141.07,141.07,5.0, sdumont6167,4937.52
8.0,48,6,754284.0,134360.0,68744.0,1243216.0,604.16,2129.92,1208.32,4270.08,1.0,0,0.0,1.0,1n-2m-4th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529155.0,2,4,100,187026,DENV_1-colombia-BVBRC_genome_sequence,353.91,355.66,709.57,70.78,71.13,141.91,141.91,5.0, sdumont6167,4257.42
9.0,64,8,754284.0,134540.0,68800.0,1243216.0,614.4,2129.92,1228.8,4270.08,1.0,0,142.0,284.0,1n-2m-4th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529165.0,2,4,100,187026,DENV_1-colombia-BVBRC_genome_sequence,379.47,380.75,760.23,54.21,54.39,108.6,108.6,7.0, sdumont6169,6081.84
